participant_id,account_status,first_mapped_squat_date,first_mapped_stage,first_mapped_stage_label,last_mapped_squat_date,first_goblet_date,first_nexus_after_goblet_date,days_goblet_to_nexus,observed_goblet_then_nexus_sequence,prior_higher_stage_before_goblet,clean_goblet_to_nexus_progression,highest_stage_observed,highest_stage_label,interpretation
WSP-CEC0B1C391,deactivated,2025-03-17,2,Nexus Point Squat,2025-08-04,2025-04-29,2025-05-05,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-8D049C5D56,deactivated,2025-03-26,2,Nexus Point Squat,2026-03-27,2026-01-02,2026-02-27,56,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-0DCDF68B3D,active,2025-04-03,2,Nexus Point Squat,2026-06-29,2025-04-28,2025-05-05,7,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-3875A22C34,active,2025-04-03,2,Nexus Point Squat,2026-01-16,2025-04-14,2025-06-30,77,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-E277EBAFC9,active,2025-04-14,2,Nexus Point Squat,2025-12-15,2025-05-06,2025-05-12,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-A0012389E8,deactivated,2025-04-18,2,Nexus Point Squat,2026-05-07,2025-06-23,2025-08-14,52,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-4DA4559003,active,2025-04-21,2,Nexus Point Squat,2025-09-15,2025-05-05,2025-08-04,91,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-9A1E9398DC,active,2025-05-12,1,Goblet Squat,2026-02-01,2025-05-12,2026-02-01,265,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-EB1C0EC931,active,2025-05-22,2,Nexus Point Squat,2025-07-03,2025-05-29,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-6ACB58261D,active,2025-05-24,2,Nexus Point Squat,2025-12-08,2025-05-26,2025-06-30,35,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-3FEC7CF653,active,2025-06-13,2,Nexus Point Squat,2026-06-29,2026-01-09,2026-06-29,171,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-7ED0BC043F,deactivated,2025-06-29,2,Nexus Point Squat,2026-04-23,2025-07-04,2025-08-04,31,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-F770995DCA,active,2025-06-27,2,Nexus Point Squat,2026-07-20,2025-08-04,2025-08-25,21,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-0ABE7D1E57,active,2025-08-05,2,Nexus Point Squat,2026-03-31,2025-10-22,2026-02-09,110,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-AB25EDB810,active,2025-06-17,1,Goblet Squat,2025-08-11,2025-06-17,2025-07-10,23,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-BBBDC805FF,active,2025-07-15,2,Nexus Point Squat,2026-03-20,2026-01-02,2026-02-27,56,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-1C37C2D63D,active,2025-06-26,2,Nexus Point Squat,2026-07-06,2025-06-30,2025-08-25,56,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-C8259A3580,active,2025-06-30,2,Nexus Point Squat,2026-07-20,2025-07-05,2025-07-07,2,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-FF8A796A6E,deactivated,2025-06-30,2,Nexus Point Squat,2026-01-16,2026-01-09,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-C76F8700A6,active,2025-07-08,2,Nexus Point Squat,2026-07-20,2026-01-02,2026-02-27,56,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-34A4EF9BDE,deactivated,2025-07-05,2,Nexus Point Squat,2025-11-10,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-3551B75FDF,active,2025-07-14,2,Nexus Point Squat,2025-09-01,2025-07-28,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-2DCB576F02,active,2026-03-30,2,Nexus Point Squat,2026-07-21,2026-07-14,2026-07-20,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-7EEF4222BA,active,2025-07-16,2,Nexus Point Squat,2026-04-16,2025-07-28,2025-08-27,30,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-3558050B40,active,2025-07-15,2,Nexus Point Squat,2026-07-20,2025-10-28,2025-11-03,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-2AED6BFC3B,active,2025-07-25,2,Nexus Point Squat,2026-06-29,2025-10-13,2026-03-06,144,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-AE5CD1FA15,deactivated,2025-07-22,2,Nexus Point Squat,2025-12-04,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-6B6FB23E48,active,2025-07-25,2,Nexus Point Squat,2026-07-20,2026-01-02,2026-02-23,52,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-6FF2BD66F6,deactivated,2025-07-29,2,Nexus Point Squat,2026-05-05,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-90948F4890,deactivated,2025-08-02,2,Nexus Point Squat,2025-12-15,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-35EF0D1E4B,deactivated,2025-08-12,1,Goblet Squat,2026-04-27,2025-08-12,2025-10-06,55,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-6E5A708942,active,2025-08-14,2,Nexus Point Squat,2026-07-20,2025-09-08,2025-09-29,21,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-8651E15C95,active,2025-08-19,2,Nexus Point Squat,2026-07-06,2026-01-02,2026-06-29,178,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-F99C0D0FD8,deactivated,2025-08-27,2,Nexus Point Squat,2025-12-15,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-BFCFDB82E1,deactivated,2025-09-03,2,Nexus Point Squat,2026-01-09,2026-01-09,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-4B38CED5A0,deactivated,2025-09-08,2,Nexus Point Squat,2026-01-23,2026-01-09,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-39AFF966E1,active,2025-09-09,2,Nexus Point Squat,2026-05-25,2026-01-16,2026-03-16,59,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-ADB01750B6,active,2025-09-11,2,Nexus Point Squat,2026-07-06,2026-01-02,2026-02-27,56,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-C28044FEBC,deactivated,2025-09-17,2,Nexus Point Squat,2026-05-19,2025-10-15,2025-10-20,5,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-7BE8ADD500,active,2025-09-15,2,Nexus Point Squat,2026-07-20,2025-09-29,2025-10-27,28,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-C91101A536,deactivated,2025-09-17,2,Nexus Point Squat,2026-04-07,2026-04-07,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-A608A874FA,deactivated,2025-09-18,2,Nexus Point Squat,2026-03-27,2026-01-09,2026-02-27,49,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-20AB5BBD04,deactivated,2025-09-22,2,Nexus Point Squat,2026-06-29,2026-01-16,2026-02-27,42,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-4D975D7B38,active,2025-09-24,2,Nexus Point Squat,2026-07-20,2025-11-18,2025-11-24,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-FFE4F951EE,active,2025-10-02,2,Nexus Point Squat,2026-07-20,2026-01-02,2026-02-27,56,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-490108A4DC,deactivated,2025-10-09,2,Nexus Point Squat,2026-01-20,2025-11-06,2025-11-20,14,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-7AF30340EE,active,2025-09-25,2,Nexus Point Squat,2026-03-20,2026-01-09,2026-03-06,56,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-B242C627C1,deactivated,2025-09-26,2,Nexus Point Squat,2026-03-20,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-025D1B9E8F,active,2025-09-29,2,Nexus Point Squat,2026-07-21,2025-11-04,2025-11-24,20,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-6B2A13AF17,active,2025-10-06,2,Nexus Point Squat,2026-01-23,2026-01-02,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-48D19EB402,deactivated,2025-10-06,2,Nexus Point Squat,2026-03-20,2025-10-28,2025-11-03,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-0DEB785AF5,active,2025-10-22,2,Nexus Point Squat,2026-01-16,2025-10-28,2025-11-10,13,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-772B007974,deactivated,2025-10-24,2,Nexus Point Squat,2026-03-06,2025-11-11,2025-12-08,27,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-692D286A91,active,2025-10-28,1,Goblet Squat,2026-07-21,2025-10-28,2025-12-30,63,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-9F3E1B2C42,active,2025-11-03,2,Nexus Point Squat,2026-03-30,2026-01-02,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-A9F42F42C7,active,2025-11-10,2,Nexus Point Squat,2026-03-27,2026-01-03,2026-02-27,55,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-8F4CA8C3B2,active,2025-11-11,2,Nexus Point Squat,2026-01-27,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-9DBAD79491,active,2025-11-11,2,Nexus Point Squat,2026-07-21,2025-11-18,2025-11-20,2,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-3EF3AD1B29,deactivated,2025-11-13,2,Nexus Point Squat,2026-05-19,2025-11-18,2025-11-20,2,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-538C5AFBAE,deactivated,2025-11-13,2,Nexus Point Squat,2026-02-06,2025-11-18,2025-11-21,3,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-448F3A92B9,active,2025-11-18,2,Nexus Point Squat,2026-07-13,2026-01-02,2026-02-27,56,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-4181CABB30,active,2025-11-25,2,Nexus Point Squat,2026-07-14,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-E9A8A91ADC,deactivated,2025-11-24,2,Nexus Point Squat,2026-01-09,2025-12-30,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-D785D5403C,deactivated,2025-11-25,2,Nexus Point Squat,2026-03-03,2025-12-16,2026-01-06,21,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-8CCDDCA7F8,active,2025-11-25,2,Nexus Point Squat,2026-03-27,2025-12-30,2026-02-27,59,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-2E90277AF9,active,2025-12-01,2,Nexus Point Squat,2026-06-29,2026-02-12,2026-03-30,46,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-EBF3E9F6F9,active,2025-12-01,2,Nexus Point Squat,2025-12-22,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-EE65491A5A,active,2025-12-03,2,Nexus Point Squat,2026-03-05,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-44B9924F4A,active,2025-12-23,2,Nexus Point Squat,2026-04-01,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-24E001627C,active,2026-01-06,2,Nexus Point Squat,2026-07-21,2026-01-23,2026-03-06,42,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-65844E9BB6,active,2026-01-09,1,Goblet Squat,2026-07-06,2026-01-09,2026-02-27,49,True,False,True,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-CC342D2104,active,2026-01-08,2,Nexus Point Squat,2026-02-26,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-162A2FA4DA,active,2026-03-06,2,Nexus Point Squat,2026-07-20,2026-06-05,2026-06-29,24,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-B975F648D4,deactivated,2026-01-13,2,Nexus Point Squat,2026-04-28,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-AE501F0741,active,2026-01-14,2,Nexus Point Squat,2026-07-20,2026-01-16,2026-03-06,49,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-B1935CBBA6,active,2026-01-21,2,Nexus Point Squat,2026-03-18,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-B72E4B8D85,active,2026-01-20,2,Nexus Point Squat,2026-07-13,2026-01-23,2026-02-27,35,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-DD22528242,active,2026-01-24,2,Nexus Point Squat,2026-07-20,2026-05-26,2026-06-29,34,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-1E3011EEFF,active,2026-01-23,2,Nexus Point Squat,2026-06-29,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-FBAE4B79EB,active,2026-01-22,2,Nexus Point Squat,2026-06-29,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-04DD1B40A9,active,2026-02-02,2,Nexus Point Squat,2026-05-11,2026-02-16,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-7B4D1A0ABA,active,2026-02-07,2,Nexus Point Squat,2026-07-01,2026-03-03,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-DCBB383449,active,2026-02-05,2,Nexus Point Squat,2026-07-14,2026-07-04,2026-07-06,2,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-38A0B732F2,active,2026-02-09,2,Nexus Point Squat,2026-03-23,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-F0083620C2,active,2026-02-06,2,Nexus Point Squat,2026-05-05,2026-04-21,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-8AAFB314B3,active,2026-02-10,2,Nexus Point Squat,2026-07-21,2026-03-31,2026-07-06,97,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-4F45554CDE,active,2026-02-12,2,Nexus Point Squat,2026-07-13,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-55092FC821,active,2026-02-12,2,Nexus Point Squat,2026-07-06,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-38891FDE5E,active,2026-02-21,2,Nexus Point Squat,2026-07-20,2026-07-07,2026-07-13,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-F0D7CAC313,active,2026-02-17,2,Nexus Point Squat,2026-05-26,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-77EC76C8A4,active,2026-02-24,2,Nexus Point Squat,2026-05-12,2026-03-17,2026-05-07,51,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-0AFA5CD92D,active,2026-03-30,2,Nexus Point Squat,2026-03-30,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-040D5CD305,active,2026-03-06,2,Nexus Point Squat,2026-04-07,2026-04-07,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-1BEBCFDBD3,active,2026-03-12,2,Nexus Point Squat,2026-07-13,2026-04-07,2026-06-29,83,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-249D09D949,active,2026-03-16,1,Goblet Squat,2026-04-13,2026-03-16,,,False,False,False,1,Goblet Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-23F6FE79B4,active,2026-03-14,2,Nexus Point Squat,2026-07-20,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-33FFA0071B,active,2026-03-19,2,Nexus Point Squat,2026-07-02,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-38D23A3C09,active,2026-03-24,2,Nexus Point Squat,2026-06-30,2026-04-07,2026-06-02,56,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-67DC9646DF,active,2026-03-20,2,Nexus Point Squat,2026-06-02,2026-03-31,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-BB9CD876C4,active,2026-04-06,2,Nexus Point Squat,2026-07-06,2026-05-12,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-1557021312,active,2026-06-22,2,Nexus Point Squat,2026-07-16,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-FFC35328B3,active,2026-04-17,2,Nexus Point Squat,2026-07-06,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-2665D39822,active,2026-04-20,2,Nexus Point Squat,2026-07-06,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-4A825E8F7B,active,2026-04-20,1,Goblet Squat,2026-04-20,2026-04-20,,,False,False,False,1,Goblet Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-F128B5CE7B,active,2026-04-23,2,Nexus Point Squat,2026-04-23,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-E074B153A4,active,2026-04-24,2,Nexus Point Squat,2026-07-21,2026-06-30,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-B642EFCB00,active,2026-04-23,2,Nexus Point Squat,2026-07-20,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-9A56990EAF,active,2026-04-23,2,Nexus Point Squat,2026-07-21,2026-06-30,2026-07-06,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-3E18EF7EBF,active,2026-04-27,2,Nexus Point Squat,2026-07-20,2026-05-26,2026-05-30,4,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-1346494B99,active,2026-05-06,2,Nexus Point Squat,2026-07-15,2026-06-03,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-3239A08979,active,2026-05-04,2,Nexus Point Squat,2026-07-11,2026-07-11,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-26FF50082E,active,2026-05-05,2,Nexus Point Squat,2026-07-21,2026-06-23,2026-07-07,14,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-3B09DB7EFA,active,2026-05-11,2,Nexus Point Squat,2026-05-12,2026-05-12,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-65C27080A3,active,2026-05-11,2,Nexus Point Squat,2026-07-20,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-3EAAC29994,active,2026-05-11,2,Nexus Point Squat,2026-05-11,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-4BB17095A6,active,2026-05-11,2,Nexus Point Squat,2026-07-17,2026-05-19,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-F2CF4026AB,active,2026-05-26,2,Nexus Point Squat,2026-06-29,2026-06-02,2026-06-29,27,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-B608800153,active,2026-05-25,2,Nexus Point Squat,2026-05-25,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-F7F97FBD6D,active,2026-06-01,2,Nexus Point Squat,2026-07-13,2026-06-16,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-D500EA9551,active,2026-06-22,2,Nexus Point Squat,2026-07-14,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-2D6FC9D6ED,active,2026-06-03,2,Nexus Point Squat,2026-07-20,2026-06-09,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-580D255E0E,active,2026-06-02,2,Nexus Point Squat,2026-07-14,2026-06-23,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-3847354783,active,2026-06-08,2,Nexus Point Squat,2026-06-08,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-0B40E95ADB,active,2026-06-12,1,Goblet Squat,2026-06-18,2026-06-12,,,False,False,False,1,Goblet Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-75CD7978EA,active,2026-06-15,2,Nexus Point Squat,2026-07-20,2026-07-04,2026-07-06,2,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-0DC4E30C90,active,2026-06-19,2,Nexus Point Squat,2026-07-06,2026-06-23,2026-06-29,6,True,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-F14120D63C,active,2026-07-03,2,Nexus Point Squat,2026-07-20,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-424CC07FFF,active,2026-06-23,2,Nexus Point Squat,2026-07-21,2026-07-14,,,False,True,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
WSP-E076068A75,active,2026-06-23,2,Nexus Point Squat,2026-07-06,,,,False,False,False,2,Nexus Point Squat,Chronological Goblet-to-Nexus stage evidence; Goblet and Nexus loads are not compared
