exercise_name,record_type,exercise_type,result_rows,participants,workouts,first_seen,last_seen
V Tuck,strength,system,162,36,81,2025-05-29,2025-12-25
Travelling Burpee,endurance,custom,109,36,109,2024-11-02,2026-06-20
Ski Erg,strength,system,468,35,107,2026-01-27,2026-06-30
V Up,endurance,system,395,35,103,2024-01-02,2026-01-31
Seated Leg Press,strength,system,343,35,136,2024-01-05,2026-07-17
High Plank Jacks,endurance,system,228,35,114,2023-10-10,2024-09-24
Sprinters Step Up,endurance,custom,226,35,113,2023-10-10,2024-09-24
Quadruped Trunk Rotation,endurance,custom,181,35,90,2023-10-12,2024-10-24
Oblique Mountain Climbers,strength,system,156,35,78,2025-02-27,2025-09-25
Single Leg Frog Stretch,general,system,156,35,78,2025-02-27,2025-09-25
Balance Board Full Plank,timedLongerBetter,system,125,35,78,2025-02-27,2025-09-25
Cross Leg Stretch,endurance,system,445,34,265,2023-12-09,2024-07-23
Curl Up Crunch,strength,system,390,34,101,2024-01-02,2025-02-17
Lateral Shuttle Run,strength,system,222,34,110,2026-02-24,2026-07-17
Band Calf Raise,endurance,system,182,34,91,2025-04-03,2025-11-20
Seated Hip Twist,endurance,system,164,34,82,2025-01-30,2025-08-21
Kettlebell High Pull,strength,system,463,33,117,2024-04-02,2024-12-24
Bear Position Kettlebell Pull Through,strength,system,324,33,108,2026-02-24,2026-06-23
Kettlebell Overhead Standing March,strength,system,324,33,108,2026-02-24,2026-06-23
SuperBand Thruster,endurance,system,222,33,110,2023-12-23,2026-07-10
DB Smith Curls,strength,custom,206,33,102,2023-09-14,2024-09-26
Parallel Grip Lat Pulldown,strength,system,180,33,83,2024-02-12,2026-07-21
Balance Board Single Leg Standing Hold,timedLongerBetter,system,167,33,83,2025-05-01,2026-03-17
Alternating Jump Lunge,endurance,system,164,33,81,2025-02-25,2025-11-18
Hyperextension Roman Chair Back Extension,endurance,system,164,33,76,2024-01-05,2024-04-13
Dumbbell Seated Tricep Press,strength,system,151,33,73,2023-12-06,2026-03-26
3D Lunge,endurance,system,528,32,176,2023-09-16,2024-10-26
Battle Rope Alternating Wave,endurance,system,369,32,123,2024-05-28,2024-12-24
Suspension Power Pull,endurance,system,330,32,110,2025-09-09,2026-03-26
Battle Rope Double Wave,endurance,system,321,32,107,2026-02-24,2026-06-23
Quadruped Single Arm Dumbbell Windmill,strength,custom,292,32,119,2024-01-04,2024-04-04
Pilates - Hip Circles,strength,system,282,32,94,2026-04-02,2026-07-16
Dumbbell Single Leg Calf Raise,strength,system,188,32,90,2024-08-29,2026-07-14
Clamshell with Twist,endurance,system,164,32,82,2025-05-01,2025-11-20
Foot Doming,endurance,custom,164,32,76,2025-01-02,2026-07-20
SuperBand Birddog,endurance,system,162,32,81,2025-05-01,2025-11-20
Glute Side Circle,general,system,148,32,74,2025-01-30,2026-07-16
Plank Hip Twist,endurance,system,108,32,90,2025-02-08,2026-06-12
Wall Ball,strength,custom,92,32,91,2024-11-30,2026-06-20
Box Breathing,general,custom,82,32,82,2025-05-01,2025-11-20
SuperBand Lat Pull Down,endurance,system,358,31,121,2023-10-13,2026-07-14
Static Rear Foot Elevated Hip Flexor Stretch,general,system,272,31,91,2024-02-27,2024-09-26
Med Ball Overhead Throw,strength,custom,230,31,94,2023-09-14,2024-09-10
Dowel Overhead Squat,endurance,system,185,31,92,2024-10-03,2024-11-21
Active Leg Lowering to Bolster,strength,system,147,31,74,2025-01-30,2026-03-25
Hundreds,endurance,custom,146,31,73,2025-01-30,2025-08-21
Dumbbell Forward Lunge Single Arm Press,strength,system,305,30,76,2023-12-05,2024-08-20
Elevated Pigeon,general,custom,275,30,107,2023-09-16,2026-05-14
Barbell Lockouts,strength,custom,234,30,115,2024-05-02,2024-07-04
Unilateral Dumbbell Good Morning,strength,custom,232,30,112,2024-05-02,2024-06-27
Wall Sit,timedLongerBetter,system,231,30,80,2024-06-01,2026-07-06
Pilates - Plank to Pike,strength,system,187,30,73,2025-09-30,2026-04-23
Dumbbell Eccentric Step Up,strength,system,178,30,86,2026-01-06,2026-07-21
90-90 Hip Switch,strength,system,176,30,88,2026-01-08,2026-07-16
High Plank Single Leg Lift Hold,strength,system,131,30,65,2025-01-02,2026-01-01
Dumbbell Step Up,strength,system,537,29,231,2024-07-26,2026-06-15
Alternating Medicine Ball Push Up,endurance,system,308,29,77,2025-01-28,2025-08-19
Dumbbell Squat Clean and Press,strength,system,300,29,75,2023-12-05,2024-08-20
Battle Rope Single Arm Wave Full Plank,endurance,system,296,29,74,2023-12-05,2024-08-20
Battle Rope Power Slam,endurance,system,288,29,72,2025-01-07,2025-07-22
Downward Dog to Push-Up,strength,system,261,29,87,2026-01-08,2026-02-19
Pilates - Double Leg Stretch,strength,system,261,29,87,2026-01-08,2026-02-19
Medicine Ball Shoulder Toss,strength,system,205,29,69,2025-03-14,2026-05-19
Stability Ball Push Up,endurance,system,160,29,74,2023-11-06,2023-11-27
Pilates - The Hundred,strength,system,156,29,52,2026-04-02,2026-07-16
Marching Glute Bridge,strength,system,130,29,65,2025-04-03,2026-03-12
Static Wrist Flexion Stretch,timedLongerBetter,system,73,29,73,2025-01-07,2025-07-22
Box Step-Off to Squat,strength,system,363,28,121,2025-10-01,2026-03-26
Ab Crunch,endurance,system,190,28,65,2023-09-15,2026-06-30
Yoga - Downward-Facing Dog (Adho Mukha Svanasana),strength,system,186,28,62,2026-04-30,2026-07-16
Dumbbell Prone Row w ER,strength,custom,138,28,69,2024-05-30,2025-06-16
Alternating Single Leg Skater Squat,strength,system,128,28,64,2025-04-03,2026-03-12
Rolling Like A Ball,general,custom,128,28,64,2025-04-03,2026-03-12
Side-Lying Hip Circles,strength,system,128,28,64,2025-04-03,2026-03-12
Superman Lat Pull,strength,system,128,28,64,2025-04-03,2026-03-12
Medicine Ball Alternating Overhead Lunge,strength,system,350,27,70,2025-04-01,2025-10-21
Balance Board Push Up,endurance,system,143,27,69,2025-04-03,2026-03-11
Down Dog Single Leg Hip Opener to Climber,strength,system,140,27,70,2025-04-01,2025-10-21
Seated Oblique Stretch,general,custom,136,27,68,2024-05-30,2026-02-08
Suspension Alternating Side Lunge,endurance,system,109,27,38,2025-09-09,2026-07-16
Bodyweight Walking Lunge,strength,system,98,27,80,2025-03-01,2026-03-21
Yoga - Sun Salutation B (Surya Namaskar B),strength,system,61,27,61,2026-04-30,2026-07-16
Run to Back Fence,cardio,custom,2065,26,59,2024-10-29,2024-11-19
Knee Up Crunch,endurance,system,394,26,57,2024-10-29,2025-04-17
Double Kettlebell Racked Front Squat,strength,system,246,26,82,2024-01-30,2025-01-06
Full Sit Up,endurance,system,201,26,67,2024-11-26,2026-03-24
Push/Pull Sled Relay,strength,custom,182,26,101,2023-12-09,2024-04-23
Medicine Ball Knee Drives,strength,system,171,26,57,2026-04-28,2026-05-19
Trapezius Stretch,general,custom,144,26,70,2024-05-30,2024-07-04
Yoga - Cat-Cow Stretch (Marjaryasana-Bitilasana),strength,system,113,26,56,2025-04-03,2026-07-11
Mini Band Wall Slides,endurance,system,85,26,43,2025-02-27,2026-05-13
Dumbbell Split Squat Pulses,strength,custom,78,26,64,2024-02-27,2025-10-20
Half Kneeling Hamstring Stretch,general,custom,371,25,124,2023-09-16,2026-07-02
L-Sit,timedLongerBetter,custom,349,25,116,2023-09-15,2023-10-30
Pilates - Advanced Side Plank,strength,system,302,25,75,2026-04-02,2026-05-21
Yoga - Seated Side Stretch,strength,system,225,25,75,2026-04-02,2026-05-21
Battle Rope High Plank Alternating Slams,endurance,system,171,25,57,2026-01-27,2026-06-30
Kneel to Stand to Squat,strength,system,171,25,57,2026-01-27,2026-06-30
Agility: Single-Leg Forward Hops,strength,system,162,25,54,2025-11-25,2026-07-21
Shuttle Run,strength,system,114,25,57,2026-01-27,2026-06-30
Bear Squat to Downward Dog,strength,system,110,25,55,2025-04-03,2026-03-12
Mini Band Bent Over Y's,strength,system,110,25,55,2025-04-03,2026-03-12
Squatting Internal Alternating Rotation,general,system,110,25,55,2025-04-03,2026-03-12
Supine Ankle Circles,strength,system,110,25,55,2025-04-03,2026-03-12
Bench Leg Raise,endurance,system,481,24,55,2024-04-30,2026-07-07
Suspension Body Saw with Crunch from Elbow,endurance,system,183,24,61,2024-11-26,2024-12-24
ATG Split Squat into Side Lunge,strength,custom,143,24,71,2024-02-29,2024-03-28
Agility: In/Out Hops,strength,system,138,24,46,2025-09-09,2026-07-21
Around the World,endurance,system,133,24,44,2024-01-02,2024-01-23
Get Up,endurance,custom,121,24,77,2024-01-06,2025-01-06
Narrow Grip Lat Pulldown,strength,system,91,24,45,2024-09-23,2026-07-17
Active Adductor Stretch,strength,system,51,24,50,2026-03-31,2026-07-16
Bench Plyo Push Ups,strength,system,290,23,97,2026-01-08,2026-03-26
Suspension Hamstring Runner,endurance,system,288,23,96,2026-01-08,2026-03-26
Kettlebell Renegade Row,strength,system,165,23,55,2024-01-30,2024-02-20
Medicine Ball Reverse Lunge,strength,system,165,23,55,2024-01-30,2024-02-20
Turkish Rollout,strength,custom,164,23,55,2024-01-04,2024-05-01
Mini Band Clamshell with Internal Rotation,endurance,system,153,23,51,2023-12-08,2023-12-29
Quadruped Hold with Opposite Arm and Leg Reach,endurance,system,153,23,51,2023-12-08,2023-12-29
Alternating Lateral Deadlift Hinge,strength,system,147,23,49,2026-03-31,2026-04-28
Band Pallof Press,endurance,system,147,23,49,2026-03-31,2026-04-28
Medicine Ball Russian Twist,strength,system,147,23,49,2026-03-31,2026-04-28
Box Step-Off to Vertical Jump,strength,system,135,23,45,2025-10-01,2026-07-16
Scapular Pull Up,endurance,system,134,23,63,2024-01-04,2026-01-30
Plank w Side Rotation,strength,custom,92,23,46,2024-10-31,2024-11-21
Battle Rope Wave Jump Squat,endurance,system,288,22,96,2026-01-08,2026-03-26
Suspension I Delt Fly,endurance,system,285,22,95,2026-01-08,2026-03-26
Trap Bar x3 + Trap Bar Carry,strength,custom,186,22,62,2023-09-16,2025-12-06
High Plank Alternating Single Arm Raise,strength,system,141,22,47,2026-01-29,2026-02-19
Wide Grip Lat Pulldown,strength,system,129,22,62,2024-07-15,2026-07-20
Cossack Squat to T-Spine Reach,strength,system,120,22,40,2026-01-08,2026-01-22
Mini Band Mountain Climbers,endurance,system,120,22,40,2026-01-08,2026-01-22
Pilates - Corkscrew,strength,system,120,22,40,2026-01-08,2026-01-22
Dumbbell Split Squat,strength,system,109,22,53,2025-11-11,2026-07-20
T Push Up,endurance,system,280,21,56,2024-04-02,2024-04-23
Dead Ball Side Throw,strength,custom,189,21,63,2024-05-28,2024-06-25
High Plank Alternating Arm & Leg Lift,endurance,system,189,21,63,2024-05-28,2024-06-25
Spiderman Plank,timedLongerBetter,system,183,21,61,2023-09-16,2024-10-26
Alternating Floor Sweep,general,system,169,21,56,2024-04-02,2024-04-23
Kneeling Medicine Ball Chest Press to Wall,strength,custom,150,21,50,2023-09-13,2023-10-04
Wall Thoracic Extension,strength,custom,150,21,50,2023-09-13,2023-10-04
Cable Seated Single Arm Row,strength,system,156,20,68,2023-11-22,2026-07-21
Prone Barbell Scapular Retraction,strength,custom,90,20,45,2024-05-02,2024-05-23
Heel Lift Skips,general,system,250,19,50,2023-11-07,2023-11-28
Side Steps,general,custom,250,19,50,2023-11-07,2023-11-28
Dumbbell Single Arm High Pull,strength,system,175,19,87,2026-01-08,2026-03-26
Supine Chin Tucks,general,system,140,19,46,2023-09-15,2023-10-06
Hip ER Holds,endurance,custom,137,19,46,2023-11-09,2026-07-16
Hip Internal Rotations,endurance,custom,137,19,46,2023-11-09,2026-07-16
Pilates - Single Leg Stretch with Twist,strength,system,126,19,42,2026-04-30,2026-05-21
Pilates - Teaser I,strength,system,126,19,42,2026-04-30,2026-05-21
Yoga - Bound Angle Pose (Baddha Konasana),strength,system,126,19,42,2026-04-30,2026-05-21
Yoga - Crescent Lunge (Anjaneyasana),strength,system,126,19,42,2026-04-30,2026-05-21
Yoga - Dancing Warrior Sequence,strength,system,126,19,42,2026-04-30,2026-05-21
Yoga - Chair Pose (Utkatasana),strength,system,99,19,33,2026-04-02,2026-04-23
Yoga - Garland Pose (Malasana),strength,system,99,19,33,2026-04-02,2026-04-23
Yoga - Revolved Chair Pose (Parivrtta Utkatasana),strength,system,99,19,33,2026-04-02,2026-04-23
Yoga - Seated Forward Bend (Paschimottanasana),strength,system,99,19,33,2026-04-02,2026-04-23
Weighted Wall Sit,timedStrength,system,94,19,47,2023-10-14,2026-03-14
Yoga - Dolphin Plank,strength,system,84,19,42,2026-04-30,2026-05-21
Crocodile Breathing,general,system,46,19,46,2023-09-15,2023-10-06
Yoga - Sun Salutation A (Surya Namaskar A),strength,system,33,19,33,2026-04-02,2026-04-23
Static Frog Stretch,general,system,175,18,175,2023-12-09,2024-07-20
Dumbbell Seated Overhead Tricep Extension,strength,system,102,18,44,2024-02-13,2026-05-07
Overhead Carry,strength,custom,53,18,51,2025-02-01,2026-02-24
Cable Rope Face Pull,strength,system,259,17,111,2023-10-20,2026-04-14
Suspension Knee Tuck,endurance,system,123,17,41,2025-09-09,2025-11-20
Pilates - Leg Pull Front,strength,system,114,17,38,2025-09-11,2025-12-16
Bear Crawl Bird Dog,endurance,system,86,17,43,2023-10-12,2023-11-02
Stability Ball Chest Fly,strength,system,86,17,43,2023-10-12,2023-11-02
Suspension Overhead Back Extension,endurance,system,83,17,29,2024-04-03,2026-07-21
Superband Reverse Prayer,endurance,custom,78,17,39,2023-11-09,2023-11-30
Yoga - Chaturanga Dandasana,strength,system,60,17,20,2026-07-02,2026-07-16
SuperBand Dislocates,general,system,58,17,45,2023-10-12,2023-11-22
Yoga - Happy Baby Pose (Ananda Balasana),strength,system,41,17,20,2026-07-02,2026-07-16
Agility: Side to Side Hops,strength,system,120,16,40,2025-09-30,2025-11-18
Pilates - Rolling Like a Ball,strength,system,120,16,40,2025-09-30,2025-11-18
Pilates - Side Lying Developé,strength,system,120,16,40,2025-09-30,2025-11-18
Pilates - Miniband Front to Back Lunge,strength,system,114,16,19,2026-07-02,2026-07-16
Pilates - Miniband Single Squat Leg Raise,strength,system,114,16,19,2026-07-02,2026-07-16
Band Assisted Parallel Grip Pull Up,strength,system,96,16,34,2023-09-11,2026-07-17
Band Standing Hip Flexion,endurance,system,93,16,31,2026-02-24,2026-07-21
Jump Squat to Lateral Shuffle,strength,system,84,16,28,2026-06-30,2026-07-21
Yoga - Reclined Bound Angle Pose (Supta Baddha Konasana),strength,system,38,16,19,2026-07-02,2026-07-16
Elbow Plank,timedLongerBetter,system,137,15,63,2023-11-07,2025-09-17
1/2 Kneel to High Knee Hop,strength,system,72,15,24,2025-11-25,2026-05-06
Inverted Row,endurance,system,60,15,29,2025-05-30,2025-10-16
Yoga - Knee to Nose to Fallen Triangle,strength,system,54,15,18,2026-07-02,2026-07-16
Floor Glute Kickback,endurance,system,52,15,26,2025-04-01,2025-04-15
Box Squat (Stool + 3 x 15kg Bumper Plates),endurance,custom,29,15,20,2025-10-27,2026-05-11
Dumbbell Stationary Lunge,strength,system,98,14,45,2023-10-18,2026-07-15
Dumbbell Glute Bridge,strength,system,74,14,37,2024-12-02,2026-07-18
Lateral Lunge to Hop,strength,system,69,14,23,2025-11-25,2025-12-16
Pilates - Jackknife,strength,system,69,14,23,2025-11-25,2025-12-16
Pilates - Kneeling Side Kick,strength,system,69,14,23,2025-11-25,2025-12-16
Box Step-Off to Single-Leg Squat,strength,system,57,14,19,2026-07-02,2026-07-16
Band Assisted Wide Grip Pull Up,strength,system,56,14,26,2025-09-10,2026-07-21
Cable Crossover Tricep Extensions,strength,custom,56,14,27,2023-09-14,2026-03-11
Partner Plank & Jump,endurance,custom,36,14,36,2024-02-03,2024-02-24
Burpee Broad Jump,strength,system,19,14,19,2025-03-29,2026-06-27
Dumbbell Romanian Deadlift,strength,system,58,13,24,2025-01-06,2026-04-10
Reverse Nordic Band Assisted,strength,custom,52,13,26,2023-09-14,2024-10-24
Pick Your Path Workout,general,custom,25,13,25,2024-05-04,2024-05-25
Dumbbell Squat,strength,system,52,12,28,2023-11-27,2026-07-15
Medicine Ball Throw From Chest,strength,custom,50,12,25,2023-09-14,2023-10-05
Kettlebell Alternating Bent Over Row,strength,system,29,12,14,2025-09-09,2025-09-23
SuperBand Deadlift,endurance,system,17,12,12,2023-12-23,2026-07-10
Suspension Alternating Reverse Lunge,endurance,system,54,11,19,2025-07-08,2025-11-05
SL Glute Bridge,strength,custom,52,11,23,2024-07-12,2026-07-17
Box Squat,strength,custom,79,10,32,2024-11-04,2026-07-08
Box Step-Off to Broad Jump,strength,system,78,10,26,2025-10-01,2025-11-20
Suspension Body Saw with Crunch from Hand,endurance,system,78,10,26,2025-10-01,2025-11-20
Suspension Wide Mountain Climber,endurance,system,78,10,26,2025-10-01,2025-11-20
Gorilla Row,strength,custom,65,10,23,2024-11-30,2025-02-11
Kettlebell Overhead Carry,strength,system,54,10,27,2025-10-30,2025-12-18
Banded Goblet Squat,strength,custom,29,10,13,2024-08-30,2026-05-26
Over Under Deadball,cardio,custom,20,10,20,2023-11-11,2023-12-02
Synchronised Barbell Farmers Carry,cardio,custom,20,10,20,2023-11-11,2023-12-02
Synchronised Battlerope Hold,general,custom,20,10,20,2023-11-11,2023-12-02
Synchronised Lunges,endurance,custom,20,10,20,2023-11-11,2023-12-02
Synchronised Push Ups,endurance,custom,20,10,20,2023-11-11,2023-12-02
Tension Squats (Box),strength,custom,83,9,37,2024-07-12,2026-06-17
Pilates - Leg Beats (Prone Position),strength,system,45,9,15,2025-09-11,2025-09-25
Pilates - Wide Second plié - Full Range,strength,system,45,9,15,2025-09-11,2025-09-25
Suspension Reverse Lunge With Hop,endurance,system,45,9,15,2025-09-11,2025-09-25
Suspension Single Leg Squat Jump,endurance,system,45,9,15,2025-09-11,2025-09-25
Box Jump to Squat Hold,strength,system,42,9,14,2025-11-27,2025-12-18
Diagonal Bounds,strength,system,42,9,14,2025-11-27,2025-12-18
Suspension Push Up,endurance,system,42,9,14,2025-11-27,2025-12-18
Suspension Side Elbow Plank with Rotation,endurance,system,42,9,14,2025-11-27,2025-12-18
Alternating Lunge to Lateral Raise,strength,system,28,9,14,2025-11-27,2025-12-18
Deadball Lunge Walk,strength,custom,19,9,19,2024-11-30,2024-12-21
Bench Single Leg Hip Thrust,strength,system,32,8,15,2025-02-17,2026-07-03
Lat Machine Parallel Grip Row,strength,system,28,8,13,2024-12-16,2026-07-20
ATG Split Squat (Stool + 1 x 15kg Bumper Plate),endurance,custom,16,8,8,2025-09-25,2026-07-09
Calf Stretch (Wall),general,custom,318,7,83,2024-01-29,2026-07-13
Mini Band Glute Bridge,endurance,system,83,7,31,2025-02-20,2026-02-22
Dumbbell Seated Arnold Press,strength,system,67,7,32,2024-12-09,2025-11-05
Weighted Full Sit Up,strength,system,51,7,17,2024-01-06,2024-01-27
Dumbbell Forward Lunge,strength,system,45,7,21,2024-08-13,2024-12-27
Front Foot Elevated ATG Split Squat,strength,custom,136,6,58,2024-11-24,2026-01-20
Kneeling Push Up,endurance,system,109,6,57,2024-04-01,2026-07-16
Patrick step ups,strength,custom,63,6,34,2025-07-12,2026-05-12
Mini Band Lateral Squat Walk (Knees),strength,system,54,6,27,2024-11-29,2025-12-03
Angled Machine Leg Press,strength,system,50,6,17,2023-10-14,2025-01-06
Calf Raise Farmer Walk,strength,system,39,6,13,2024-07-06,2024-07-20
Machine Lying Leg Curl,strength,system,37,6,15,2023-11-20,2025-09-30
Angled Machine Single Leg Press,strength,system,35,6,14,2024-04-29,2025-02-14
Machine Seated Neutral Grip Row,strength,system,28,6,12,2023-09-27,2026-03-31
Cable Straight Bar Tricep Pushdown,strength,system,22,6,9,2024-06-26,2025-12-09
Mini Band Frog Pumps,endurance,system,22,6,10,2023-12-23,2026-07-10
Side Plank on Knee (Forearm),timedLongerBetter,system,22,6,11,2023-11-21,2026-07-08
Plate Weighted Wall Sit,timedStrength,custom,21,6,10,2025-06-26,2026-03-06
B-Stance RDL Single Dumbbell,strength,system,19,6,9,2025-11-07,2026-07-10
Body Weight Forward Lunge,endurance,system,18,6,8,2023-11-07,2024-11-15
Battle Rope Alternating Power Slam,endurance,system,13,6,13,2024-07-06,2024-07-20
Plank Standard,general,custom,11,6,6,2025-07-09,2026-07-02
Dumbbell Sumo Squat,strength,system,84,5,32,2024-08-13,2026-07-12
Cable Seated Close Row,strength,system,54,5,21,2024-02-12,2026-03-09
Cable Seated Single Arm Close Row,strength,system,44,5,16,2024-03-13,2026-05-13
Dumbbell Incline Bench High Row,strength,system,42,5,18,2024-07-10,2026-05-13
Snatch grip RDL,strength,custom,40,5,15,2024-04-10,2025-07-03
Pull Up,strength,system,39,5,19,2025-02-06,2025-12-22
Mini Band Side Steps,endurance,system,34,5,17,2024-12-23,2026-07-16
Plate Russian Twist,strength,system,25,5,10,2024-08-06,2026-03-24
Band Single Arm Lat Pull Down,endurance,system,24,5,12,2024-05-22,2025-08-15
Dead Ball Deadlift w Side Pass,strength,custom,18,5,9,2023-12-09,2023-12-30
Deadball Deadlift w Forward Throw,strength,custom,18,5,9,2023-12-09,2023-12-30
Ankle Dorsiflexion Rockbacks,strength,custom,17,5,16,2025-07-10,2026-04-23
Body Weight Reverse Lunge,endurance,system,16,5,7,2024-07-12,2026-04-20
Lying Single Leg Raise,endurance,system,16,5,8,2025-09-01,2026-03-04
Seated Piriformis Stretch,general,system,310,4,77,2024-04-01,2026-07-13
B-stance Glute Bridge,strength,custom,111,4,50,2024-08-06,2025-11-14
Stair climbing,cardio,system,76,4,6,2024-07-13,2025-08-09
Foam Roller Dead Bug,endurance,custom,45,4,18,2024-04-23,2025-02-07
Barbell Rack Pull,strength,custom,44,4,16,2024-04-23,2025-11-05
Scrape the rack bent over rows,strength,custom,30,4,10,2024-08-28,2024-09-21
Body Weight Calf Raise,endurance,system,27,4,9,2024-07-13,2024-11-22
High Side Plank from Knees,timedLongerBetter,system,25,4,11,2024-10-14,2026-06-18
Mini Band Side Steps (Squat Stance),endurance,system,23,4,9,2024-12-13,2026-07-16
Leg Press Machine Single Leg,strength,system,15,4,7,2024-02-12,2024-10-11
Single Arm Cable Row,strength,system,14,4,6,2024-06-10,2026-07-06
Machine Assisted Chin Up,strength,system,13,4,5,2025-07-10,2026-06-25
Kettlebell Single Arm Clean w Walk,strength,custom,10,4,5,2023-12-16,2023-12-23
Weight Plate Floor to Ceiling w Walk,strength,custom,10,4,5,2023-12-16,2023-12-23
Band Lat Pull Down,endurance,system,8,4,4,2024-07-12,2025-12-05
Nordic Fall,strength,custom,8,4,4,2024-07-04,2025-11-07
Single-Leg Glute Bridge Hold with Leg Drop,strength,system,8,4,5,2025-11-17,2026-07-01
Band Standing Row,endurance,system,182,3,81,2024-04-01,2026-05-22
Box Squat (Stool + 2 x 15kg Bumper Plates),endurance,custom,54,3,26,2025-07-02,2026-02-18
Kettlebell Racked Walking Lunges,strength,system,47,3,17,2025-03-21,2025-05-20
Elevated Bar Push-up,endurance,system,38,3,15,2024-06-19,2026-05-11
Barbell Incline Bench Press,strength,system,34,3,16,2025-03-20,2025-08-13
Dumbbell Incline Bench Back Fly,strength,system,33,3,13,2024-06-07,2025-07-31
Slider Hamstring Curl,strength,system,20,3,8,2025-02-17,2026-06-29
Barbell Skullcrusher,strength,system,19,3,8,2024-12-23,2025-01-30
Cable step-ups,strength,custom,18,3,8,2024-08-06,2025-06-23
Cable Rope Seated High Row,strength,system,15,3,7,2025-05-30,2026-05-12
Hamstring Scoops,endurance,custom,15,3,5,2024-07-13,2024-07-22
Single Leg Balance,endurance,system,15,3,13,2025-10-29,2026-07-15
Barbell Overhead Push Press,strength,system,14,3,6,2026-01-17,2026-03-17
Machine Assisted Wide Grip Pull Up,strength,system,14,3,6,2026-05-11,2026-06-15
Cable Standing Single Leg Kickback,strength,system,13,3,5,2026-03-24,2026-06-05
Wall Push Up,strength,custom,13,3,6,2025-11-01,2026-05-26
Deadbug - Legs Only,strength,system,12,3,5,2026-01-29,2026-07-15
Dumbbell Standing Shoulder External Rotations,strength,system,12,3,6,2025-12-23,2026-04-10
Superband Overhead Lat Pull Apart,endurance,system,12,3,6,2023-11-15,2026-07-21
Diaphragmic breathing,strength,custom,11,3,11,2025-10-29,2026-04-23
Kettlebell Single Arm Row,strength,system,11,3,4,2024-08-13,2025-11-28
Band Shoulder Press,endurance,system,10,3,3,2023-12-21,2026-07-11
Landmine Single Arm Shoulder Press,strength,system,10,3,4,2023-12-06,2025-12-06
Mini Band Donkey Kicks,endurance,system,10,3,4,2025-03-04,2025-09-30
Suspension Full Plank From Hand,timedLongerBetter,system,10,3,5,2026-07-08,2026-07-15
Barbell Incline Bench Pull,strength,system,9,3,4,2023-09-22,2025-12-22
Lat Machine Straight Arm Pulldown,strength,system,9,3,4,2024-04-10,2025-01-20
SuperBand Glute Kickback,endurance,system,9,3,3,2023-12-23,2026-07-10
Alternating Cossack Squat,general,system,8,3,6,2025-07-10,2026-03-24
Weight Plate Floor to Ceiling,strength,custom,8,3,4,2023-12-09,2023-12-30
Cable Reverse Grip Tricep Pulldown,strength,system,7,3,3,2025-04-30,2026-05-27
Static Distal Hamstring Stretch,timedLongerBetter,system,6,3,3,2024-11-11,2026-04-10
Medicine Ball Half Kneeling Alternating Slams,strength,system,42,2,14,2025-03-21,2025-05-19
Barbell Sumo Deadlift,strength,system,36,2,17,2025-01-16,2026-03-30
Cable Standing Wide Grip Row,strength,system,35,2,12,2025-01-09,2025-02-25
Mini Band Seated Abduction,endurance,system,33,2,13,2025-02-17,2025-07-22
Mini Band Squat Thrust,endurance,system,33,2,11,2025-02-20,2026-07-04
Stability Ball Plank,timedLongerBetter,system,30,2,11,2024-12-20,2025-03-13
Mini Band Wide to Narrow Jump Squat,endurance,system,27,2,9,2025-02-20,2026-07-04
Prone Shoulder Extension,strength,custom,26,2,9,2024-07-22,2024-09-16
Deficit Deadlift,strength,custom,24,2,9,2024-04-10,2024-08-21
Plate Hip Thrust,strength,system,24,2,12,2025-02-17,2026-06-05
Barbell Clean and Press,strength,system,23,2,8,2025-12-06,2026-03-24
Cable Seated Close Grip Row,strength,system,22,2,11,2025-02-13,2025-12-31
Dumbbell Alternating Reverse Lunge,strength,system,22,2,7,2024-08-16,2024-12-03
Dumbbell Heel Elevated Goblet Squat,strength,system,20,2,10,2025-11-18,2026-01-06
Kettlebell Half Kneeling Bottom Up Press,strength,system,16,2,6,2025-07-07,2025-08-01
Mini Band External Rotation,strength,system,15,2,7,2025-10-22,2025-12-19
Clamshell,endurance,system,10,2,4,2024-09-13,2026-04-20
Weighted pushup,strength,custom,10,2,5,2024-11-27,2024-12-18
Lower Calf Stretch,general,system,9,2,5,2026-02-06,2026-07-16
Medicine Ball Squat & Press,strength,system,9,2,4,2025-11-17,2026-07-21
Stair step ups,strength,custom,9,2,3,2025-08-09,2025-10-30
Cable Upright Row,strength,system,8,2,2,2024-05-15,2025-01-06
Machine Seated Leg Extension,strength,system,8,2,3,2025-03-17,2025-07-07
Pilates - Standing Roll-Down,strength,system,8,2,4,2026-01-23,2026-02-19
SuperBand Seated Face Pull,endurance,system,8,2,3,2024-01-31,2025-11-28
SuperBand Single Arm Lat Pull Down,endurance,system,8,2,3,2024-10-02,2025-08-08
Cable Standing Single Arm Close Row,strength,system,7,2,3,2024-01-12,2025-01-03
Alternating Deficit Reverse Lunges,strength,system,6,2,2,2025-11-17,2026-02-18
Anchored Reverse Crunch,strength,system,6,2,2,2026-03-12,2026-04-28
Band Bent Over Row,endurance,system,6,2,2,2023-12-21,2026-07-11
Band Lying Leg Press,endurance,system,6,2,2,2023-12-23,2026-07-10
Cable Straight Arm Lat Pulldown,strength,system,6,2,3,2025-07-15,2025-10-03
